Superficie_m2,Num_Habitaciones,Num_Banos,Tamano_Terreno,Ano_Construccion,Distancia_Centro,Tipo_Propiedad,Color_Propiedad,Ciudad,Precio,Superficie_pies
151.4435708,3,2,308.1393254,1950,33.78966358,Dúplex,Azul,Ciudad C,486391.9016,1630.138596
223.7286785,7,8,349.3624834,1965,37.74253921,Casa,Rojo,Ciudad A,901208.718,2408.215495
142.3984427,5,3,279.2901585,2010,39.68316266,Dúplex,Azul,Ciudad A,603595.2091,1532.776837
70.33514928,7,6,158.2438858,2013,39.58609807,Casa,Rojo,Ciudad C,339531.6542,757.0875469
151.7092331,7,6,285.9113086,2012,5.014702101,Departamento,Rojo,Ciudad B,672759.296,1632.998185
117.4093152,5,3,287.7293393,2018,24.97380508,Dúplex,Azul,Ciudad B,648609.4634,1263.793869
241.1360641,2,2,420.0016167,1971,3.349158621,Casa,Azul,Ciudad B,813790.3317,2595.588594
72.43717365,7,7,115.8571351,2016,27.70167968,Departamento,Rojo,Ciudad A,280893.7547,779.7137371
146.6126281,6,7,309.8724243,1975,22.35575982,Dúplex,Azul,Ciudad A,643711.1568,1578.138329
170.2928002,6,5,353.9018185,1965,44.44135705,Dúplex,Rojo,Ciudad A,648537.8911,1833.031702
252.4829115,3,2,604.088637,2000,17.87029312,Casa,Azul,Ciudad A,1094705.936,2717.72606
256.3913512,6,4,395.7995841,2006,6.294817313,Casa,Verde,Ciudad B,1132316.862,2759.796505
122.7298114,3,2,229.2699728,1978,7.578088262,Casa,Verde,Ciudad C,467486.2639,1321.063689
237.3935988,2,2,489.7885757,2018,38.19477627,Departamento,Verde,Ciudad A,962191.2083,2555.304697
125.6354108,5,5,301.2794699,1996,31.10179413,Casa,Verde,Ciudad A,533710.3441,1352.339562
159.8685624,5,3,208.6096939,2011,5.505572468,Dúplex,Verde,Ciudad B,683710.128,1720.825205
140.9558444,5,4,371.4444339,2018,4.663286903,Dúplex,Rojo,Ciudad C,685471.7176,1517.248709
151.5112367,6,4,277.0719638,1965,35.19797201,Casa,Verde,Ciudad C,546187.1868,1630.866951
192.4398796,2,2,314.2491173,1997,4.101768815,Casa,Verde,Ciudad B,790095.1787,2071.422864
169.3384815,6,7,422.7376012,1988,41.18207293,Dúplex,Verde,Ciudad B,802750.7011,1822.759415
202.3482438,6,4,432.2348468,1982,35.45899024,Departamento,Verde,Ciudad C,683794.1153,2178.076497
