area,perimeter,compactness,length_kernel,width_kernel,asymmetry_coefficient,length_kernel_groove,label,cluster_kmeans,PCA1,PCA2
15.26,14.84,0.871,5.763,3.312,2.221,5.22,1,2,0.2637286798948756,0.8265023856412702
14.88,14.57,0.8811,5.554,3.333,1.018,4.956,1,2,-0.053864087190041876,1.9704624111175275
14.29,14.09,0.905,5.291,3.337,2.699,4.825,1,2,-0.5036631665077762,1.9408301427105894
13.84,13.94,0.8955,5.324,3.379,2.259,4.805,1,2,-0.6377174371394306,1.969545073123236
16.14,14.99,0.9034,5.658,3.562,1.355,5.175,1,2,1.0548481250990531,2.1249912259073933
14.38,14.21,0.8951,5.386,3.312,2.462,4.956,1,2,-0.3835286651878429,1.6739274556495392
14.69,14.49,0.8799,5.563,3.259,3.586,5.219,1,2,-0.1961119017570465,0.45904839915845363
16.63,15.46,0.8747,6.053,3.465,2.04,5.877,1,0,1.7111393758253508,0.3576528687226595
16.44,15.25,0.888,5.884,3.505,1.969,5.533,1,0,1.3889457967928858,1.0611951652184763
15.26,14.85,0.8696,5.714,3.242,4.543,5.314,1,2,0.013914250548941506,-0.41859560374578036
14.03,14.16,0.8796,5.438,3.201,1.717,5.001,1,2,-0.6223448053124646,1.6042792021762975
13.89,14.02,0.888,5.439,3.199,3.986,4.738,1,2,-0.9778791210475487,0.8901143646771387
13.78,14.06,0.8759,5.479,3.156,3.136,4.872,1,2,-0.9642301498318301,0.8987816600424372
13.74,14.05,0.8744,5.482,3.114,2.932,4.825,1,2,-1.0578312526690457,0.9880748992531287
14.59,14.28,0.8993,5.351,3.333,4.185,4.781,1,2,-0.5607096990112501,1.0723690779255444
13.99,13.83,0.9183,5.119,3.383,5.234,4.781,1,2,-0.8250337536791977,1.1402507023194453
15.69,14.75,0.9058,5.527,3.514,1.599,5.046,1,2,0.6324023134750275,2.2223619723559533
14.7,14.21,0.9153,5.205,3.466,1.767,4.649,1,2,-0.2769075254308787,2.8338972262565654
12.72,13.57,0.8686,5.226,3.049,4.102,4.914,1,1,-1.787132895710136,0.3493132816781497
14.16,14.4,0.8584,5.658,3.129,3.072,5.176,1,2,-0.6156328406259602,0.18694628781686337
14.11,14.26,0.8722,5.52,3.168,2.688,5.219,1,2,-0.5290927685536334,0.738003783604986
15.88,14.9,0.8988,5.618,3.507,0.7651,5.091,1,2,0.8088102618072042,2.384955573376082
12.08,13.23,0.8664,5.099,2.936,1.415,4.961,1,2,-2.028382846221826,1.634413837454452
15.01,14.76,0.8657,5.789,3.245,1.791,5.001,1,2,-0.05510417799297433,1.0616146293581785
16.19,15.16,0.8849,5.833,3.421,0.903,5.307,1,2,1.0443673938421554,1.6942085829404814
13.02,13.76,0.8641,5.395,3.026,3.373,4.825,1,2,-1.6078560342623767,0.5761099680562205
12.74,13.67,0.8564,5.395,2.956,2.504,4.869,1,2,-1.7501248289205966,0.7823193618822005
14.11,14.18,0.882,5.541,3.221,2.754,5.038,1,2,-0.5057169649547918,1.07790229520203
13.45,14.02,0.8604,5.516,3.065,3.531,5.097,1,2,-1.1363428026088367,0.14252337556812386
13.16,13.82,0.8662,5.454,2.975,0.8551,5.056,1,2,-1.1627357375210545,1.6360523774701219
15.49,14.94,0.8724,5.757,3.371,3.412,5.228,1,2,0.32362159754079817,0.27892919841076563
14.09,14.41,0.8529,5.717,3.186,3.92,5.299,1,2,-0.5368111217230154,-0.45782135883795994
13.94,14.17,0.8728,5.585,3.15,2.124,5.012,1,2,-0.6549972405676867,1.1602903853911841
15.05,14.68,0.8779,5.712,3.328,2.129,5.36,1,2,0.34695350327794,0.9599791361485738
16.2,15.27,0.8734,5.826,3.464,2.823,5.527,1,2,1.009933213866482,0.33092519191010933
17.08,15.38,0.9079,5.832,3.683,2.956,5.484,1,0,1.8062378488070798,1.1271401779889185
14.8,14.52,0.8823,5.656,3.288,3.112,5.309,1,2,0.09009482940724316,0.6409449896862062
14.28,14.17,0.8944,5.397,3.298,6.685,5.001,1,2,-0.7238697713363373,-0.45788403068613565
13.54,13.85,0.8871,5.348,3.156,2.587,5.178,1,2,-0.7794805815764163,1.2610740060693482
13.5,13.85,0.8852,5.351,3.158,2.249,5.176,1,2,-0.7780278849798077,1.3854527119852793
13.16,13.55,0.9009,5.138,3.201,2.461,4.783,1,2,-1.2244482057520636,2.0696946612141005
15.5,14.86,0.882,5.877,3.396,4.711,5.528,1,2,0.6901052905693182,-0.41498066947559287
15.11,14.54,0.8986,5.579,3.462,3.128,5.18,1,2,0.36195338840872504,1.184447324045486
13.8,14.04,0.8794,5.376,3.155,1.56,4.961,1,2,-0.8316584780057362,1.7313530427928014
15.36,14.76,0.8861,5.701,3.393,1.367,5.132,1,2,0.46399029506573364,1.7119682403324354
14.99,14.56,0.8883,5.57,3.377,2.958,5.175,1,2,0.13067128745706816,1.017061465423962
14.79,14.52,0.8819,5.545,3.291,2.704,5.111,1,2,-0.14277124723514642,1.0358832428765048
14.86,14.67,0.8676,5.678,3.258,2.129,5.351,1,2,0.07154498803731094,0.7305692142471307
14.43,14.4,0.8751,5.585,3.272,3.975,5.144,1,2,-0.37722864948076557,0.21926633284533095
15.78,14.91,0.8923,5.674,3.434,5.593,5.136,1,2,0.3437978153129251,-0.21677205093594454
14.49,14.61,0.8538,5.715,3.113,4.116,5.396,1,2,-0.4222648708880558,-0.6462826406604519
14.33,14.28,0.8831,5.504,3.199,3.328,5.224,1,2,-0.38485692180413505,0.679218061895823
14.52,14.6,0.8557,5.741,3.113,1.481,5.487,1,2,-0.09400443787778923,0.6103612552127413
15.03,14.77,0.8658,5.702,3.212,1.933,5.439,1,2,0.1646913197717903,0.685711466561559
14.46,14.35,0.8818,5.388,3.377,2.802,5.044,1,2,-0.36402049114820945,1.1481763190007896
14.92,14.43,0.9006,5.384,3.412,1.142,5.088,1,2,0.15968396667428286,2.3580485338961683
15.38,14.77,0.8857,5.662,3.419,1.999,5.222,1,2,0.47905007099120245,1.347896416323818
12.11,13.47,0.8392,5.159,3.032,1.502,4.519,1,2,-2.4546873875105555,1.3039772998035604
11.23,12.63,0.884,4.902,2.879,2.269,4.703,1,2,-2.6750757954046405,1.9280819134602967
12.36,13.19,0.8923,5.076,3.042,3.22,4.605,1,2,-2.012642333583926,1.6487937842243348
13.22,13.84,0.868,5.395,3.07,4.157,5.088,1,2,-1.3081469970350734,0.08320956882685096
12.78,13.57,0.8716,5.262,3.026,1.176,4.782,1,2,-1.6070810448555881,1.932799735556324
12.88,13.5,0.8879,5.139,3.119,2.352,4.607,1,2,-1.6623787921180657,1.9451454942776283
14.34,14.37,0.8726,5.63,3.19,1.313,5.15,1,2,-0.2672159283534541,1.4238011892725153
14.01,14.29,0.8625,5.609,3.158,2.217,5.132,1,2,-0.6075738500044309,0.7730253423504068
12.73,13.75,0.8458,5.412,2.882,3.533,5.067,1,1,-1.8452466665925933,-0.1504390201580723
17.63,15.98,0.8673,6.191,3.561,4.076,6.06,2,0,2.1767873116678387,-1.02608020635877
16.84,15.67,0.8623,5.998,3.484,4.675,5.877,2,0,1.4272142451293321,-1.202076821770453
17.26,15.73,0.8763,5.978,3.594,4.539,5.791,2,0,1.7289251917123902,-0.71782942998763
19.11,16.26,0.9081,6.154,3.93,2.936,6.079,2,0,3.477406670505392,0.5395373010208385
16.82,15.51,0.8786,6.017,3.486,4.004,5.841,2,0,1.609964700450853,-0.47409953561666607
16.77,15.62,0.8638,5.927,3.438,4.92,5.795,2,0,1.2128918310275876,-1.203749898745552
17.32,15.91,0.8599,6.064,3.403,3.824,5.922,2,0,1.6257247764647307,-0.946967485033111
20.71,17.23,0.8763,6.579,3.814,4.451,6.451,2,0,4.116787013527149,-1.5134144459692813
18.94,16.49,0.875,6.445,3.639,5.064,6.362,2,0,3.1335994307905946,-1.7053832822371828
17.12,15.55,0.8892,5.85,3.566,2.858,5.746,2,0,1.7432499681521665,0.4963388481415427
16.53,15.34,0.8823,5.875,3.467,5.532,5.88,2,0,1.3047451040809008,-1.0996781922666417
18.72,16.19,0.8977,6.006,3.857,5.324,5.879,2,0,2.6986654453465415,-0.6626905422798305
20.2,16.89,0.8894,6.285,3.864,5.173,6.187,2,0,3.591511555519601,-1.1948615415048642
19.57,16.74,0.8779,6.384,3.772,1.472,6.273,2,0,3.656244714881456,0.2406851607735647
19.51,16.71,0.878,6.366,3.801,2.962,6.185,2,0,3.467401392285786,-0.40223700353364544
18.27,16.09,0.887,6.173,3.651,2.443,6.197,2,0,2.8695682463301995,0.1389725232870059
18.88,16.26,0.8969,6.084,3.764,1.649,6.109,2,0,3.176076537908784,0.8789463040329444
18.98,16.66,0.859,6.549,3.67,3.691,6.498,2,0,3.3565251628998842,-1.5451664653213388
21.18,17.21,0.8989,6.573,4.033,5.78,6.231,2,0,4.419334505388847,-1.420237840927228
20.88,17.05,0.9031,6.45,4.032,5.016,6.321,2,0,4.381715160576519,-0.9508359719557351
20.1,16.99,0.8746,6.581,3.785,1.955,6.449,2,0,4.086269175157485,-0.31241878048041216
18.76,16.2,0.8984,6.172,3.796,3.12,6.053,2,0,3.1163918855007378,0.20782634314378245
18.81,16.29,0.8906,6.272,3.693,3.237,6.053,2,0,3.0296913435135835,-0.10882153200058418
18.59,16.05,0.9066,6.037,3.86,6.001,5.877,2,0,2.7160510342915054,-0.7958983258021144
18.36,16.52,0.8452,6.666,3.485,4.933,6.448,2,0,2.812350652145034,-2.5238610732830926
16.87,15.65,0.8648,6.139,3.463,3.696,5.967,2,0,1.7139972702810204,-0.8028390511678849
19.31,16.59,0.8815,6.341,3.81,3.477,6.238,2,0,3.4256036255906293,-0.5935318027307541
18.98,16.57,0.8687,6.449,3.552,2.144,6.453,2,0,3.2974007418771865,-0.5163982473703966
18.17,16.26,0.8637,6.271,3.512,2.853,6.273,2,0,2.5952858927670914,-0.7440177519428237
18.72,16.34,0.881,6.219,3.684,2.188,6.097,2,0,2.9743861930983737,0.17497442584762068
